original_message,pattern_template,template_id,root_cause,severity,mitigation,timestamp,schema_id,original_time,original_level,original_content,original_anomaly_label,original_heuristic_anomaly
config.update(): Can't create worker.jni:onShutdown,config.update(): Can't create worker.jni:onShutdown,15,"This error typically occurs when there is a problem with the Java Native Interface (JNI) library or the worker process that handles JNI calls. It can be caused by a variety of issues, such as a corrupted or missing JNI library, a conflict with other software, or a system resource issue.",Medium,"1. Check if the JNI library is present and not corrupted. Reinstall or update the JNI library if necessary.
2. Check for any software conflicts or incompatibilities that may be interfering with the JNI library or worker process.
3. Restart the service or application that is generating the error.
4. If the issue persists, try rebooting the system to release any system resources that may be causing the problem.
5. Check system logs for any additional information or error messages that may provide more context about the root cause.
6. If the issue cannot be resolved, contact the vendor or developer of the software for further assistance.",2025-08-12 11:58:39,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 11:32:27 2005,error,config.update(): Can't create worker.jni:onShutdown,1,1
mod_jk child init 1 0,mod_jk child init [NUM] [NUM],16,"This error is related to the Apache mod_jk module, which is used for load balancing between Apache HTTP Server and Tomcat web servers. The message indicates that a child process of mod_jk is being initialized.",Low,"This message is informational and does not necessarily indicate an error. However, if you see a large number of these messages repeatedly, it could indicate an issue with the mod_jk configuration or the backend Tomcat servers. In that case, you should check the mod_jk configuration files and ensure that the Tomcat servers are running correctly.",2025-08-12 11:58:42,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 11:32:39 2005,error,mod_jk child init 1 0,1,1
[client 213.205.73.192] Invalid method in request get /scripts/..%e0%80%af../..%e0%80%af../..%e0%80%af../winnt/system32/cmd.exe?/c+dir,[client [IP]] Invalid method in request get [PATH][TRAVERSAL]���[TRAVERSAL][TRAVERSAL][PATH]?[PATH]+dir,19,"The error indicates an attempted directory traversal attack, where a malicious client is trying to access unauthorized system files and directories by manipulating the URL path.",High,"1. Implement input validation to sanitize and reject URLs containing directory traversal patterns (e.g., ../ or ..%5c). 2. Configure web server to disable the ability to execute scripts or commands from the web root directory. 3. Enable and monitor web application firewall rules to detect and block such attacks. 4. Keep web server software and dependencies up-to-date with the latest security patches. 5. Implement strict access controls and least privilege principles for web server processes.",2025-08-12 11:58:54,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 11:40:14 2005,error,[client 213.205.73.192] Invalid method in request get /scripts/..%e0%80%af../..%e0%80%af../..%e0%80%af../winnt/system32/cmd.exe?/c+dir,1,1
[client 61.4.64.179] Directory index forbidden by rule: /var/www/html/,[client [IP]] Directory index forbidden by rule: [PATH],4,This error occurs when a client attempts to access a directory on the web server that is not configured to display a directory listing or index file.,Low,"1. Check the web server configuration file (e.g., Apache httpd.conf or Nginx nginx.conf) and ensure that directory listings are enabled for the specified path. 2. If directory listings should not be enabled, create an index.html file in the directory to serve as the default file. 3. Alternatively, configure the web server to return a 403 Forbidden error instead of the 'Directory index forbidden' message for better security.",2025-08-12 11:58:00,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 11:59:44 2005,error,[client 61.4.64.179] Directory index forbidden by rule: /var/www/html/,1,1
[client 61.10.7.8] Directory index forbidden by rule: /var/www/html/,[client [IP]] Directory index forbidden by rule: [PATH],4,This error occurs when a client attempts to access a directory on the web server that is not configured to display a directory listing or index file.,Low,"1. Check the web server configuration file (e.g., Apache httpd.conf or Nginx nginx.conf) and ensure that directory listings are enabled for the specified path. 2. If directory listings should not be enabled, create an index.html file in the directory to serve as the default file. 3. Alternatively, configure the web server to return a 403 Forbidden error instead of the 'Directory index forbidden' message for better security.",2025-08-12 11:58:00,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 14:21:15 2005,error,[client 61.10.7.8] Directory index forbidden by rule: /var/www/html/,1,1
[client 24.2.25.240] Directory index forbidden by rule: /var/www/html/,[client [IP]] Directory index forbidden by rule: [PATH],4,This error occurs when a client attempts to access a directory on the web server that is not configured to display a directory listing or index file.,Low,"1. Check the web server configuration file (e.g., Apache httpd.conf or Nginx nginx.conf) and ensure that directory listings are enabled for the specified path. 2. If directory listings should not be enabled, create an index.html file in the directory to serve as the default file. 3. Alternatively, configure the web server to return a 403 Forbidden error instead of the 'Directory index forbidden' message for better security.",2025-08-12 11:58:00,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 14:35:01 2005,error,[client 24.2.25.240] Directory index forbidden by rule: /var/www/html/,1,1
[client 219.130.98.254] Directory index forbidden by rule: /var/www/html/,[client [IP]] Directory index forbidden by rule: [PATH],4,This error occurs when a client attempts to access a directory on the web server that is not configured to display a directory listing or index file.,Low,"1. Check the web server configuration file (e.g., Apache httpd.conf or Nginx nginx.conf) and ensure that directory listings are enabled for the specified path. 2. If directory listings should not be enabled, create an index.html file in the directory to serve as the default file. 3. Alternatively, configure the web server to return a 403 Forbidden error instead of the 'Directory index forbidden' message for better security.",2025-08-12 11:58:00,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 15:56:08 2005,error,[client 219.130.98.254] Directory index forbidden by rule: /var/www/html/,1,1
[client 210.22.201.118] File does not exist: /var/www/html/scripts/root.exe,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 20:23:18 2005,error,[client 210.22.201.118] File does not exist: /var/www/html/scripts/root.exe,1,1
[client 210.22.201.119] File does not exist: /var/www/html/MSADC,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 20:23:18 2005,error,[client 210.22.201.119] File does not exist: /var/www/html/MSADC,1,1
[client 210.22.201.120] File does not exist: /var/www/html/c,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 20:23:19 2005,error,[client 210.22.201.120] File does not exist: /var/www/html/c,1,1
[client 210.22.201.117] File does not exist: /var/www/html/d,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 20:23:19 2005,error,[client 210.22.201.117] File does not exist: /var/www/html/d,1,1
[client 210.22.201.124] File does not exist: /var/www/html/scripts/..%5c..,[client [IP]] File does not exist: [PATH][TRAVERSAL][TRAVERSAL],5,"This error indicates an attempt to traverse the file system path and access files or directories outside of the intended web root directory, which is a common technique used in directory traversal attacks.",High,1. Implement strict input validation and sanitization to prevent path traversal attempts. 2. Restrict the web server's access to only the intended web root directory. 3. Enable web server logging and monitor for suspicious activity. 4. Keep software up-to-date and apply security patches promptly. 5. Implement additional security controls like a Web Application Firewall (WAF) to detect and block such attacks.,2025-08-12 11:58:03,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 20:23:20 2005,error,[client 210.22.201.124] File does not exist: /var/www/html/scripts/..%5c..,1,1
[client 210.22.201.118] File does not exist: /var/www/html/_vti_bin,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 20:23:20 2005,error,[client 210.22.201.118] File does not exist: /var/www/html/_vti_bin,1,1
[client 210.22.201.121] File does not exist: /var/www/html/_mem_bin,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 20:23:21 2005,error,[client 210.22.201.121] File does not exist: /var/www/html/_mem_bin,1,1
[client 210.22.201.125] File does not exist: /var/www/html/msadc,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 20:23:21 2005,error,[client 210.22.201.125] File does not exist: /var/www/html/msadc,1,1
[client 210.22.201.120] File does not exist: /var/www/html/scripts/..\xc1\x1c..,[client [IP]] File does not exist: [PATH][TRAVERSAL]xc1[ENCODED][TRAVERSAL],6,"This error indicates an attempt to traverse the directory structure and access files outside of the intended web root directory, which is a common technique used in directory traversal attacks.",High,1. Implement strict input validation to sanitize user input and prevent directory traversal attempts. 2. Configure web servers to disable serving files outside the web root directory. 3. Ensure that error messages do not reveal sensitive information about the file system structure. 4. Keep web server software and dependencies up-to-date with the latest security patches. 5. Implement additional security controls like web application firewalls (WAFs) to detect and block directory traversal attempts.,2025-08-12 11:58:06,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 20:23:22 2005,error,[client 210.22.201.120] File does not exist: /var/www/html/scripts/..\xc1\x1c..,1,1
[client 210.22.201.122] File does not exist: /var/www/html/scripts/..\xc0\xaf..,[client [IP]] File does not exist: [PATH][TRAVERSAL]xc0[ENCODED][TRAVERSAL],17,"This error indicates an attempt to traverse the directory structure and access files outside of the intended web root directory, which is a common technique used in directory traversal attacks.",High,1. Validate and sanitize all user input to prevent directory traversal attempts. 2. Implement a web application firewall (WAF) to detect and block such attacks. 3. Ensure that the web server is configured to restrict access to files and directories outside the web root. 4. Keep the web server software and all dependencies up-to-date with the latest security patches. 5. Enable and monitor access logs for suspicious activity.,2025-08-12 11:58:46,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 20:23:22 2005,error,[client 210.22.201.122] File does not exist: /var/www/html/scripts/..\xc0\xaf..,1,1
[client 210.22.201.117] File does not exist: /var/www/html/scripts/..\xc1\x9c..,[client [IP]] File does not exist: [PATH][TRAVERSAL]xc1[ENCODED][TRAVERSAL],6,"This error indicates an attempt to traverse the directory structure and access files outside of the intended web root directory, which is a common technique used in directory traversal attacks.",High,1. Implement strict input validation to sanitize user input and prevent directory traversal attempts. 2. Configure web servers to disable serving files outside the web root directory. 3. Ensure that error messages do not reveal sensitive information about the file system structure. 4. Keep web server software and dependencies up-to-date with the latest security patches. 5. Implement additional security controls like web application firewalls (WAFs) to detect and block directory traversal attempts.,2025-08-12 11:58:06,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 20:23:23 2005,error,[client 210.22.201.117] File does not exist: /var/www/html/scripts/..\xc1\x9c..,1,1
[client 210.22.201.121] File does not exist: /var/www/html/scripts/..%5c..,[client [IP]] File does not exist: [PATH][TRAVERSAL][TRAVERSAL],5,"This error indicates an attempt to traverse the file system path and access files or directories outside of the intended web root directory, which is a common technique used in directory traversal attacks.",High,1. Implement strict input validation and sanitization to prevent path traversal attempts. 2. Restrict the web server's access to only the intended web root directory. 3. Enable web server logging and monitor for suspicious activity. 4. Keep software up-to-date and apply security patches promptly. 5. Implement additional security controls like a Web Application Firewall (WAF) to detect and block such attacks.,2025-08-12 11:58:03,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 20:23:24 2005,error,[client 210.22.201.121] File does not exist: /var/www/html/scripts/..%5c..,1,1
[client 210.22.201.119] File does not exist: /var/www/html/scripts/..%2f..,[client [IP]] File does not exist: [PATH][TRAVERSAL][TRAVERSAL],5,"This error indicates an attempt to traverse the file system path and access files or directories outside of the intended web root directory, which is a common technique used in directory traversal attacks.",High,1. Implement strict input validation and sanitization to prevent path traversal attempts. 2. Restrict the web server's access to only the intended web root directory. 3. Enable web server logging and monitor for suspicious activity. 4. Keep software up-to-date and apply security patches promptly. 5. Implement additional security controls like a Web Application Firewall (WAF) to detect and block such attacks.,2025-08-12 11:58:03,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 20:23:25 2005,error,[client 210.22.201.119] File does not exist: /var/www/html/scripts/..%2f..,1,1
[client 61.142.136.20] File does not exist: /var/www/html/scripts/root.exe,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 21:02:54 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/scripts/root.exe,1,1
[client 61.142.136.20] File does not exist: /var/www/html/MSADC,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 21:02:56 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/MSADC,1,1
[client 61.142.136.20] File does not exist: /var/www/html/c,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 21:02:59 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/c,1,1
[client 61.142.136.20] File does not exist: /var/www/html/d,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 21:03:01 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/d,1,1
[client 61.142.136.20] File does not exist: /var/www/html/scripts/..%5c..,[client [IP]] File does not exist: [PATH][TRAVERSAL][TRAVERSAL],5,"This error indicates an attempt to traverse the file system path and access files or directories outside of the intended web root directory, which is a common technique used in directory traversal attacks.",High,1. Implement strict input validation and sanitization to prevent path traversal attempts. 2. Restrict the web server's access to only the intended web root directory. 3. Enable web server logging and monitor for suspicious activity. 4. Keep software up-to-date and apply security patches promptly. 5. Implement additional security controls like a Web Application Firewall (WAF) to detect and block such attacks.,2025-08-12 11:58:03,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 21:03:04 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/scripts/..%5c..,1,1
[client 61.142.136.20] File does not exist: /var/www/html/_vti_bin,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 21:03:06 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/_vti_bin,1,1
[client 61.142.136.20] File does not exist: /var/www/html/_mem_bin,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 21:03:12 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/_mem_bin,1,1
[client 61.142.136.20] File does not exist: /var/www/html/msadc,[client [IP]] File does not exist: [PATH],0,The error indicates that a client is attempting to access a file or resource that does not exist on the server.,Low,"1. Verify that the path in the error message is correct and intended to be accessed by the client. 2. If the path is incorrect, update the client configuration or application code to reference the correct path. 3. If the path is intended to be accessed, ensure that the file or resource exists in the specified location on the server. 4. Check file permissions to ensure that the web server process has read access to the file or directory. 5. If the file should exist but does not, investigate further to determine if it was accidentally deleted or if there is an issue with the deployment process.",2025-08-12 11:57:44,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 21:03:14 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/msadc,1,1
[client 61.142.136.20] File does not exist: /var/www/html/scripts/..\xc1\x1c..,[client [IP]] File does not exist: [PATH][TRAVERSAL]xc1[ENCODED][TRAVERSAL],6,"This error indicates an attempt to traverse the directory structure and access files outside of the intended web root directory, which is a common technique used in directory traversal attacks.",High,1. Implement strict input validation to sanitize user input and prevent directory traversal attempts. 2. Configure web servers to disable serving files outside the web root directory. 3. Ensure that error messages do not reveal sensitive information about the file system structure. 4. Keep web server software and dependencies up-to-date with the latest security patches. 5. Implement additional security controls like web application firewalls (WAFs) to detect and block directory traversal attempts.,2025-08-12 11:58:06,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 21:03:17 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/scripts/..\xc1\x1c..,1,1
[client 61.142.136.20] File does not exist: /var/www/html/scripts/..\xc0\xaf..,[client [IP]] File does not exist: [PATH][TRAVERSAL]xc0[ENCODED][TRAVERSAL],17,"This error indicates an attempt to traverse the directory structure and access files outside of the intended web root directory, which is a common technique used in directory traversal attacks.",High,1. Validate and sanitize all user input to prevent directory traversal attempts. 2. Implement a web application firewall (WAF) to detect and block such attacks. 3. Ensure that the web server is configured to restrict access to files and directories outside the web root. 4. Keep the web server software and all dependencies up-to-date with the latest security patches. 5. Enable and monitor access logs for suspicious activity.,2025-08-12 11:58:46,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 21:03:22 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/scripts/..\xc0\xaf..,1,1
[client 61.142.136.20] File does not exist: /var/www/html/scripts/..\xc1\x9c..,[client [IP]] File does not exist: [PATH][TRAVERSAL]xc1[ENCODED][TRAVERSAL],6,"This error indicates an attempt to traverse the directory structure and access files outside of the intended web root directory, which is a common technique used in directory traversal attacks.",High,1. Implement strict input validation to sanitize user input and prevent directory traversal attempts. 2. Configure web servers to disable serving files outside the web root directory. 3. Ensure that error messages do not reveal sensitive information about the file system structure. 4. Keep web server software and dependencies up-to-date with the latest security patches. 5. Implement additional security controls like web application firewalls (WAFs) to detect and block directory traversal attempts.,2025-08-12 11:58:06,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 21:03:24 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/scripts/..\xc1\x9c..,1,1
[client 61.142.136.20] File does not exist: /var/www/html/scripts/..%5c..,[client [IP]] File does not exist: [PATH][TRAVERSAL][TRAVERSAL],5,"This error indicates an attempt to traverse the file system path and access files or directories outside of the intended web root directory, which is a common technique used in directory traversal attacks.",High,1. Implement strict input validation and sanitization to prevent path traversal attempts. 2. Restrict the web server's access to only the intended web root directory. 3. Enable web server logging and monitor for suspicious activity. 4. Keep software up-to-date and apply security patches promptly. 5. Implement additional security controls like a Web Application Firewall (WAF) to detect and block such attacks.,2025-08-12 11:58:03,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 21:03:38 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/scripts/..%5c..,1,1
[client 61.142.136.20] File does not exist: /var/www/html/scripts/..%2f..,[client [IP]] File does not exist: [PATH][TRAVERSAL][TRAVERSAL],5,"This error indicates an attempt to traverse the file system path and access files or directories outside of the intended web root directory, which is a common technique used in directory traversal attacks.",High,1. Implement strict input validation and sanitization to prevent path traversal attempts. 2. Restrict the web server's access to only the intended web root directory. 3. Enable web server logging and monitor for suspicious activity. 4. Keep software up-to-date and apply security patches promptly. 5. Implement additional security controls like a Web Application Firewall (WAF) to detect and block such attacks.,2025-08-12 11:58:03,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 21:03:44 2005,error,[client 61.142.136.20] File does not exist: /var/www/html/scripts/..%2f..,1,1
[client 61.154.135.10] Directory index forbidden by rule: /var/www/html/,[client [IP]] Directory index forbidden by rule: [PATH],4,This error occurs when a client attempts to access a directory on the web server that is not configured to display a directory listing or index file.,Low,"1. Check the web server configuration file (e.g., Apache httpd.conf or Nginx nginx.conf) and ensure that directory listings are enabled for the specified path. 2. If directory listings should not be enabled, create an index.html file in the directory to serve as the default file. 3. Alternatively, configure the web server to return a 403 Forbidden error instead of the 'Directory index forbidden' message for better security.",2025-08-12 11:58:00,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 21:21:32 2005,error,[client 61.154.135.10] Directory index forbidden by rule: /var/www/html/,1,1
[client 12.168.121.2] Directory index forbidden by rule: /var/www/html/,[client [IP]] Directory index forbidden by rule: [PATH],4,This error occurs when a client attempts to access a directory on the web server that is not configured to display a directory listing or index file.,Low,"1. Check the web server configuration file (e.g., Apache httpd.conf or Nginx nginx.conf) and ensure that directory listings are enabled for the specified path. 2. If directory listings should not be enabled, create an index.html file in the directory to serve as the default file. 3. Alternatively, configure the web server to return a 403 Forbidden error instead of the 'Directory index forbidden' message for better security.",2025-08-12 11:58:00,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 22:41:39 2005,error,[client 12.168.121.2] Directory index forbidden by rule: /var/www/html/,1,1
[client 219.127.107.18] Directory index forbidden by rule: /var/www/html/,[client [IP]] Directory index forbidden by rule: [PATH],4,This error occurs when a client attempts to access a directory on the web server that is not configured to display a directory listing or index file.,Low,"1. Check the web server configuration file (e.g., Apache httpd.conf or Nginx nginx.conf) and ensure that directory listings are enabled for the specified path. 2. If directory listings should not be enabled, create an index.html file in the directory to serve as the default file. 3. Alternatively, configure the web server to return a 403 Forbidden error instead of the 'Directory index forbidden' message for better security.",2025-08-12 11:58:00,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 23:36:53 2005,error,[client 219.127.107.18] Directory index forbidden by rule: /var/www/html/,1,1
[client 219.43.32.119] Directory index forbidden by rule: /var/www/html/,[client [IP]] Directory index forbidden by rule: [PATH],4,This error occurs when a client attempts to access a directory on the web server that is not configured to display a directory listing or index file.,Low,"1. Check the web server configuration file (e.g., Apache httpd.conf or Nginx nginx.conf) and ensure that directory listings are enabled for the specified path. 2. If directory listings should not be enabled, create an index.html file in the directory to serve as the default file. 3. Alternatively, configure the web server to return a 403 Forbidden error instead of the 'Directory index forbidden' message for better security.",2025-08-12 11:58:00,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 23:42:39 2005,error,[client 219.43.32.119] Directory index forbidden by rule: /var/www/html/,1,1
[client 222.166.160.83] Directory index forbidden by rule: /var/www/html/,[client [IP]] Directory index forbidden by rule: [PATH],4,This error occurs when a client attempts to access a directory on the web server that is not configured to display a directory listing or index file.,Low,"1. Check the web server configuration file (e.g., Apache httpd.conf or Nginx nginx.conf) and ensure that directory listings are enabled for the specified path. 2. If directory listings should not be enabled, create an index.html file in the directory to serve as the default file. 3. Alternatively, configure the web server to return a 403 Forbidden error instead of the 'Directory index forbidden' message for better security.",2025-08-12 11:58:00,f88a4e573320d6f4ba344f99657ad810ef36b755f5d7539f03f16cacd3cc2911,Fri Jun 10 23:46:20 2005,error,[client 222.166.160.83] Directory index forbidden by rule: /var/www/html/,1,1
